Date,Category,Amount,Payment Method,Description
14-06-2024,Expense,258,Cash,Shopping 
23-08-2024,Expense,320,Bkash,Shopping 
03-02-2024,Income,978,Bkash,Transfer 
10-06-2024,Income,287,Cash,Transfer 
19-02-2023,Income,626,Cash,Transfer 
10-06-2024,Expense,785,Nagad,Rent 
24-11-2023,Expense,418,Credit Card,Transfer 
22-05-2024,Income,934,Credit Card,Transfer 
07-06-2023,Expense,993,Credit Card,Salary 
24-09-2024,Income,278,Credit Card,Salary 
12-09-2024,Income,618,Credit Card,Salary 
14-08-2024,Expense,651,Bkash,Groceries 
14-06-2024,Income,384,Bkash,Rent 
28-08-2024,Expense,505,Bkash,Groceries 
16-01-2023,Income,676,Cash,Groceries 
13-09-2023,Income,149,Bkash,Groceries 
15-01-2024,Income,559,Nagad,Salary 
03-08-2023,Income,248,Bkash,Transfer 
24-08-2023,Income,672,Credit Card,Groceries 
20-05-2024,Expense,520,Bkash,Shopping 
09-02-2024,Income,945,Nagad,Salary 
11-01-2023,Income,771,Credit Card,Groceries 
19-08-2023,Income,258,Credit Card,Transfer 
05-06-2023,Expense,585,Cash,Transfer 
03-10-2023,Expense,669,Bkash,Transfer 
18-10-2023,Expense,669,Cash,Transfer 
11-02-2023,Income,160,Bkash,Transfer 
03-01-2024,Income,143,Bkash,Shopping 
18-10-2024,Expense,399,Nagad,Transfer 
13-12-2024,Income,407,Credit Card,Shopping 
14-04-2023,Income,397,Bkash,Transfer 
25-08-2024,Expense,962,Credit Card,Groceries 
01-08-2024,Expense,603,Cash,Groceries 
21-04-2023,Expense,123,Credit Card,Groceries 
17-10-2024,Income,242,Nagad,Groceries 
10-09-2023,Expense,749,Cash,Salary 
02-01-2024,Income,853,Nagad,Shopping 
15-07-2024,Expense,934,Nagad,Transfer 
19-04-2023,Expense,115,Nagad,Groceries 
03-12-2023,Expense,814,Nagad,Transfer 
01-01-2023,Income,368,Bkash,Shopping 
11-10-2023,Expense,455,Cash,Rent 
16-04-2024,Income,485,Nagad,Groceries 
14-04-2023,Income,828,Nagad,Rent 
27-03-2023,Expense,287,Cash,Salary 
19-05-2023,Income,931,Cash,Rent 
09-08-2024,Income,852,Nagad,Salary 
12-11-2023,Income,330,Nagad,Salary 
15-12-2024,Expense,813,Credit Card,Groceries 
08-07-2023,Income,966,Cash,Transfer 
02-10-2024,Income,156,Cash,Shopping 
11-04-2024,Expense,418,Nagad,Shopping 
24-07-2023,Expense,794,Credit Card,Rent 
21-08-2024,Income,324,Nagad,Transfer 
20-05-2023,Income,249,Credit Card,Groceries 
18-04-2023,Expense,775,Cash,Transfer 
28-05-2023,Income,954,Credit Card,Transfer 
27-04-2024,Expense,520,Cash,Transfer 
25-12-2023,Income,732,Bkash,Groceries 
16-10-2023,Income,141,Credit Card,Transfer 
25-05-2024,Expense,303,Cash,Rent 
27-12-2024,Expense,103,Nagad,Shopping 
18-08-2024,Income,224,Credit Card,Rent 
01-10-2024,Expense,707,Nagad,Transfer 
13-07-2023,Income,226,Bkash,Salary 
04-10-2024,Expense,843,Credit Card,Rent 
24-03-2024,Income,959,Credit Card,Transfer 
03-03-2023,Expense,942,Bkash,Groceries 
26-01-2024,Expense,897,Cash,Rent 
15-07-2023,Expense,811,Credit Card,Groceries 
19-04-2024,Income,892,Nagad,Shopping 
17-11-2023,Expense,454,Nagad,Salary 
26-03-2023,Expense,696,Bkash,Groceries 
15-08-2024,Expense,913,Nagad,Shopping 
17-03-2023,Income,617,Nagad,Rent 
12-06-2024,Income,233,Nagad,Shopping 
11-04-2023,Income,848,Nagad,Groceries 
06-06-2023,Expense,558,Cash,Rent 
19-09-2024,Income,819,Cash,Transfer 
04-07-2023,Income,285,Cash,Groceries 
12-05-2024,Expense,284,Cash,Rent 
21-02-2024,Income,570,Cash,Groceries 
27-11-2023,Income,469,Nagad,Shopping 
24-07-2023,Income,677,Nagad,Transfer 
10-04-2023,Expense,455,Nagad,Transfer 
02-09-2024,Income,978,Credit Card,Groceries 
25-04-2024,Expense,319,Credit Card,Groceries 
19-10-2023,Income,214,Cash,Rent 
26-11-2024,Expense,613,Credit Card,Salary 
06-12-2024,Income,358,Cash,Transfer 
10-07-2024,Expense,334,Bkash,Groceries 
02-01-2024,Income,219,Bkash,Salary 
10-12-2024,Income,448,Bkash,Transfer 
04-10-2024,Income,841,Bkash,Transfer 
27-05-2024,Expense,793,Credit Card,Rent 
21-10-2024,Income,316,Cash,Salary 
14-04-2024,Income,202,Cash,Groceries 
14-02-2023,Income,333,Nagad,Salary 
21-06-2024,Income,793,Cash,Shopping 
11-01-2023,Expense,578,Nagad,Shopping 
05-08-2024,Income,225,Nagad,Rent 
04-10-2024,Income,896,Credit Card,Shopping 
24-09-2024,Expense,158,Credit Card,Transfer 
21-07-2024,Income,969,Nagad,Rent 
14-02-2024,Income,887,Credit Card,Rent 
28-02-2023,Income,139,Nagad,Shopping 
27-07-2024,Income,788,Credit Card,Groceries 
28-02-2023,Expense,800,Bkash,Transfer 
27-04-2024,Expense,461,Nagad,Shopping 
07-09-2023,Income,368,Credit Card,Groceries 
22-07-2023,Income,276,Nagad,Salary 
17-02-2023,Income,673,Credit Card,Rent 
23-11-2023,Income,793,Cash,Groceries 
04-11-2024,Expense,429,Credit Card,Rent 
03-06-2024,Expense,125,Nagad,Shopping 
01-07-2023,Income,963,Cash,Transfer 
09-04-2024,Expense,937,Credit Card,Shopping 
16-07-2024,Income,489,Credit Card,Groceries 
28-11-2023,Expense,889,Bkash,Rent 
02-03-2023,Income,388,Nagad,Rent 
19-11-2023,Income,832,Credit Card,Transfer 
24-03-2023,Expense,457,Cash,Groceries 
19-12-2024,Income,624,Credit Card,Groceries 
07-06-2024,Income,601,Credit Card,Salary 
02-02-2024,Income,120,Credit Card,Groceries 
22-06-2024,Expense,411,Credit Card,Transfer 
09-10-2023,Income,442,Nagad,Salary 
03-03-2023,Expense,456,Credit Card,Salary 
13-10-2023,Expense,113,Bkash,Rent 
14-03-2023,Income,487,Credit Card,Salary 
23-06-2023,Income,665,Credit Card,Salary 
21-05-2023,Income,685,Cash,Groceries 
07-01-2024,Expense,116,Bkash,Salary 
08-07-2024,Expense,895,Nagad,Rent 
19-05-2024,Income,651,Credit Card,Groceries 
20-09-2023,Expense,810,Credit Card,Shopping 
26-09-2024,Income,791,Cash,Groceries 
11-07-2023,Expense,231,Credit Card,Salary 
13-05-2024,Income,120,Bkash,Shopping 
17-05-2024,Expense,350,Nagad,Groceries 
15-10-2024,Expense,222,Bkash,Shopping 
28-10-2024,Expense,927,Cash,Groceries 
10-05-2023,Income,660,Bkash,Groceries 
20-10-2024,Income,765,Cash,Salary 
08-08-2023,Expense,498,Nagad,Rent 
28-11-2024,Expense,573,Nagad,Transfer 
21-01-2023,Expense,506,Cash,Shopping 
14-03-2024,Expense,267,Credit Card,Rent 
27-06-2024,Expense,554,Bkash,Salary 
19-07-2024,Income,394,Nagad,Rent 
28-09-2023,Expense,336,Nagad,Transfer 
03-05-2024,Expense,414,Cash,Groceries 
14-01-2023,Expense,334,Bkash,Salary 
03-04-2024,Income,698,Bkash,Rent 
15-12-2024,Income,961,Nagad,Shopping 
24-08-2023,Income,371,Credit Card,Transfer 
03-07-2024,Income,403,Cash,Shopping 
03-12-2023,Income,813,Nagad,Transfer 
18-02-2024,Expense,510,Bkash,Salary 
09-07-2023,Income,276,Cash,Rent 
14-09-2023,Expense,668,Bkash,Groceries 
19-04-2024,Expense,415,Credit Card,Salary 
01-08-2024,Expense,860,Cash,Transfer 
02-09-2023,Expense,505,Cash,Shopping 
24-06-2024,Expense,709,Nagad,Rent 
13-02-2023,Income,678,Credit Card,Salary 
03-04-2023,Expense,782,Credit Card,Groceries 
18-11-2024,Income,124,Bkash,Rent 
12-05-2023,Expense,814,Credit Card,Rent 
17-02-2024,Expense,651,Bkash,Transfer 
18-09-2024,Expense,431,Cash,Shopping 
22-11-2024,Income,748,Bkash,Shopping 
26-04-2023,Expense,303,Nagad,Groceries 
11-04-2024,Income,968,Bkash,Shopping 
19-09-2023,Income,729,Credit Card,Shopping 
09-05-2024,Expense,857,Nagad,Rent 
03-01-2023,Expense,107,Bkash,Salary 
05-04-2023,Income,386,Bkash,Transfer 
17-01-2024,Expense,476,Credit Card,Transfer 
15-05-2023,Income,267,Bkash,Rent 
24-10-2024,Income,996,Nagad,Groceries 
13-06-2024,Expense,187,Bkash,Salary 
16-10-2024,Income,781,Credit Card,Groceries 
22-08-2023,Income,132,Cash,Rent 
01-08-2024,Expense,792,Cash,Shopping 
23-09-2023,Income,592,Bkash,Rent 
02-07-2023,Income,481,Cash,Transfer 
19-06-2023,Income,492,Bkash,Shopping 
16-09-2024,Income,295,Bkash,Rent 
05-02-2023,Income,537,Credit Card,Transfer 
21-01-2023,Expense,388,Cash,Salary 
12-05-2024,Income,217,Cash,Groceries 
11-12-2023,Expense,701,Nagad,Shopping 
02-05-2023,Income,718,Bkash,Salary 
21-03-2024,Expense,386,Credit Card,Salary 
16-03-2023,Expense,436,Bkash,Groceries 
24-01-2024,Expense,343,Cash,Groceries 
02-07-2023,Income,565,Credit Card,Shopping 
10-07-2024,Expense,220,Nagad,Shopping 
01-01-2023,Income,463,Bkash,Transfer 
27-09-2023,Income,120,Nagad,Shopping 
14-01-2024,Income,572,Bkash,Transfer 
21-09-2023,Income,409,Cash,Groceries 
05-01-2024,Income,380,Cash,Rent 
22-06-2023,Expense,332,Credit Card,Shopping 
22-05-2024,Income,150,Credit Card,Shopping 
06-03-2023,Expense,335,Nagad,Groceries 
20-01-2023,Expense,662,Credit Card,Groceries 
14-07-2024,Income,563,Nagad,Groceries 
21-02-2023,Income,645,Cash,Shopping 
19-11-2023,Income,270,Credit Card,Shopping 
25-05-2023,Expense,982,Cash,Groceries 
15-11-2024,Expense,872,Nagad,Rent 
09-07-2024,Expense,923,Credit Card,Transfer 
13-11-2023,Income,179,Cash,Groceries 
05-10-2023,Income,586,Nagad,Groceries 
10-09-2023,Expense,857,Cash,Salary 
13-07-2023,Income,336,Cash,Groceries 
14-05-2023,Expense,647,Credit Card,Transfer 
07-10-2024,Income,419,Credit Card,Salary 
04-06-2024,Expense,645,Bkash,Salary 
19-02-2023,Income,854,Nagad,Rent 
01-04-2024,Expense,963,Cash,Salary 
17-10-2023,Income,525,Cash,Transfer 
04-10-2023,Expense,811,Credit Card,Transfer 
28-06-2024,Income,876,Nagad,Groceries 
28-07-2024,Income,602,Bkash,Rent 
20-11-2024,Income,716,Bkash,Shopping 
19-11-2023,Expense,838,Bkash,Shopping 
16-11-2024,Expense,904,Credit Card,Transfer 
12-01-2024,Income,715,Nagad,Transfer 
15-09-2024,Expense,717,Nagad,Salary 
18-11-2024,Expense,600,Nagad,Rent 
07-04-2024,Income,152,Credit Card,Groceries 
24-08-2024,Expense,779,Cash,Rent 
06-11-2024,Income,968,Bkash,Salary 
15-03-2023,Income,822,Cash,Salary 
17-11-2023,Expense,702,Cash,Groceries 
07-08-2023,Expense,931,Bkash,Groceries 
10-12-2024,Expense,107,Cash,Rent 
26-07-2023,Income,356,Credit Card,Rent 
20-06-2024,Income,510,Credit Card,Groceries 
19-07-2023,Income,438,Cash,Salary 
27-07-2023,Income,904,Nagad,Rent 
19-02-2023,Expense,245,Bkash,Salary 
04-01-2023,Expense,732,Credit Card,Transfer 
21-12-2024,Expense,884,Cash,Shopping 
26-08-2023,Income,998,Bkash,Shopping 
17-07-2023,Expense,108,Cash,Shopping 
10-09-2024,Income,603,Credit Card,Groceries 
01-07-2024,Expense,131,Credit Card,Rent 
10-10-2024,Income,552,Bkash,Groceries 
10-09-2023,Income,802,Cash,Salary 
21-02-2023,Income,406,Cash,Shopping 
28-11-2024,Income,541,Bkash,Transfer 
16-10-2023,Expense,162,Credit Card,Rent 
10-01-2024,Expense,753,Credit Card,Rent 
02-02-2023,Expense,331,Credit Card,Shopping 
10-03-2023,Expense,121,Cash,Groceries 
24-06-2024,Income,900,Bkash,Rent 
10-07-2024,Expense,104,Credit Card,Shopping 
08-11-2023,Expense,723,Nagad,Transfer 
04-12-2024,Income,335,Nagad,Rent 
05-03-2023,Expense,916,Credit Card,Rent 
19-03-2024,Expense,308,Nagad,Shopping 
26-11-2024,Expense,595,Nagad,Groceries 
04-10-2023,Expense,688,Cash,Transfer 
02-01-2024,Expense,125,Bkash,Groceries 
04-05-2024,Expense,965,Bkash,Rent 
12-11-2023,Income,268,Cash,Transfer 
04-06-2024,Income,324,Nagad,Transfer 
10-05-2024,Expense,180,Cash,Salary 
18-12-2024,Expense,741,Bkash,Shopping 
01-12-2023,Income,439,Nagad,Groceries 
22-10-2023,Expense,984,Cash,Groceries 
11-09-2024,Expense,178,Nagad,Groceries 
27-12-2023,Expense,986,Nagad,Transfer 
07-04-2024,Expense,611,Bkash,Groceries 
26-08-2023,Expense,305,Nagad,Salary 
16-05-2023,Income,818,Nagad,Groceries 
21-08-2023,Income,435,Credit Card,Shopping 
12-04-2024,Expense,554,Bkash,Rent 
04-01-2023,Income,446,Cash,Transfer 
25-08-2023,Expense,774,Cash,Salary 
01-09-2024,Income,470,Cash,Groceries 
14-07-2023,Income,331,Credit Card,Salary 
12-06-2024,Income,761,Cash,Rent 
15-12-2023,Expense,145,Nagad,Shopping 
26-04-2023,Income,258,Credit Card,Transfer 
10-10-2023,Expense,343,Cash,Salary 
11-05-2023,Income,630,Cash,Shopping 
08-10-2024,Expense,346,Bkash,Salary 
11-04-2024,Expense,303,Credit Card,Transfer 
26-12-2024,Income,514,Nagad,Rent 
06-11-2023,Income,711,Cash,Shopping 
08-08-2023,Income,568,Cash,Rent 
17-09-2024,Income,694,Nagad,Rent 
22-06-2023,Income,163,Nagad,Shopping 
22-07-2024,Income,266,Credit Card,Shopping 
01-06-2024,Expense,184,Credit Card,Transfer 
23-04-2023,Income,158,Bkash,Salary 
07-04-2023,Expense,885,Nagad,Shopping 
24-07-2023,Expense,908,Credit Card,Groceries 
08-07-2023,Expense,940,Cash,Transfer 
28-05-2024,Income,902,Cash,Shopping 
20-10-2024,Expense,345,Cash,Shopping 
01-02-2023,Expense,230,Nagad,Transfer 
12-07-2023,Expense,515,Bkash,Transfer 
02-06-2024,Income,178,Cash,Groceries 
21-03-2023,Expense,671,Cash,Shopping 
09-02-2023,Expense,846,Bkash,Rent 
07-12-2024,Income,618,Bkash,Salary 
23-07-2023,Expense,854,Bkash,Rent 
21-11-2023,Expense,713,Credit Card,Shopping 
20-04-2024,Expense,751,Credit Card,Shopping 
08-02-2024,Income,649,Credit Card,Salary 
14-11-2023,Income,754,Cash,Groceries 
13-02-2024,Expense,631,Cash,Rent 
18-12-2024,Income,416,Nagad,Salary 
17-08-2024,Income,290,Credit Card,Shopping 
27-08-2024,Income,210,Cash,Salary 
15-10-2023,Income,366,Nagad,Salary 
21-08-2024,Income,698,Bkash,Shopping 
10-07-2023,Expense,310,Cash,Transfer 
25-09-2023,Income,782,Bkash,Rent 
15-07-2024,Expense,910,Nagad,Rent 
25-01-2024,Expense,264,Bkash,Salary 
18-12-2024,Income,339,Cash,Shopping 
27-05-2023,Expense,343,Nagad,Shopping 
06-02-2024,Expense,258,Cash,Shopping 
21-07-2024,Income,899,Credit Card,Shopping 
24-05-2024,Income,420,Bkash,Rent 
10-12-2024,Expense,637,Nagad,Shopping 
10-07-2024,Income,236,Bkash,Rent 
23-05-2024,Income,493,Credit Card,Transfer 
20-12-2023,Income,834,Cash,Groceries 
18-12-2024,Income,640,Credit Card,Rent 
11-02-2023,Income,898,Cash,Groceries 
21-05-2023,Expense,100,Nagad,Salary 
02-11-2023,Expense,565,Nagad,Rent 
09-07-2023,Expense,763,Cash,Salary 
27-11-2023,Expense,228,Bkash,Shopping 
08-03-2023,Income,363,Bkash,Transfer 
26-06-2024,Expense,680,Nagad,Shopping 
19-08-2023,Income,437,Cash,Groceries 
16-10-2023,Income,549,Bkash,Rent 
21-06-2023,Income,918,Nagad,Transfer 
07-01-2023,Expense,718,Credit Card,Rent 
16-06-2024,Income,132,Bkash,Salary 
23-05-2024,Expense,317,Nagad,Groceries 
02-06-2024,Expense,652,Credit Card,Shopping 
04-12-2024,Income,636,Nagad,Groceries 
28-04-2023,Expense,706,Credit Card,Shopping 
15-11-2023,Income,660,Cash,Groceries 
14-05-2023,Income,165,Bkash,Salary 
26-05-2023,Expense,737,Nagad,Rent 
20-06-2023,Income,506,Bkash,Shopping 
05-12-2023,Income,536,Nagad,Transfer 
11-04-2024,Income,837,Credit Card,Salary 
18-12-2024,Expense,621,Cash,Groceries 
06-10-2023,Income,195,Credit Card,Shopping 
02-12-2023,Expense,833,Bkash,Rent 
19-12-2023,Expense,438,Credit Card,Rent 
13-07-2023,Expense,686,Cash,Transfer 
12-07-2024,Expense,494,Cash,Transfer 
20-06-2024,Expense,875,Cash,Salary 
01-12-2024,Income,249,Cash,Rent 
04-06-2023,Income,853,Credit Card,Salary 
18-09-2023,Expense,849,Cash,Shopping 
23-02-2024,Income,834,Cash,Groceries 
03-04-2024,Income,572,Bkash,Salary 
10-04-2023,Income,716,Cash,Rent 
04-06-2024,Expense,618,Nagad,Groceries 
01-08-2023,Expense,315,Cash,Groceries 
22-11-2024,Expense,989,Bkash,Shopping 
24-01-2023,Income,306,Cash,Groceries 
15-02-2024,Income,661,Nagad,Salary 
12-04-2023,Income,969,Credit Card,Salary 
22-05-2024,Expense,303,Credit Card,Transfer 
15-06-2024,Expense,644,Credit Card,Groceries 
08-11-2024,Expense,144,Nagad,Groceries 
27-05-2024,Expense,784,Cash,Shopping 
05-09-2024,Income,437,Credit Card,Rent 
02-08-2023,Expense,253,Nagad,Salary 
19-03-2024,Income,607,Cash,Groceries 
05-03-2024,Income,626,Nagad,Transfer 
24-03-2023,Expense,591,Nagad,Shopping 
26-07-2023,Income,807,Cash,Groceries 
03-01-2024,Income,599,Credit Card,Rent 
21-04-2024,Expense,733,Cash,Groceries 
23-04-2024,Income,568,Bkash,Shopping 
04-02-2023,Expense,645,Bkash,Groceries 
22-06-2023,Expense,700,Nagad,Groceries 
19-09-2024,Expense,546,Credit Card,Shopping 
14-05-2024,Expense,460,Cash,Groceries 
05-11-2023,Income,113,Nagad,Rent 
24-11-2024,Income,630,Nagad,Rent 
07-09-2024,Expense,395,Nagad,Rent 
25-01-2024,Expense,346,Cash,Transfer 
05-11-2024,Income,944,Nagad,Groceries 
10-06-2023,Income,194,Nagad,Shopping 
27-06-2024,Expense,804,Bkash,Rent 
06-05-2024,Income,109,Credit Card,Groceries 
13-11-2024,Income,443,Cash,Salary 
15-01-2023,Expense,271,Bkash,Salary 
21-11-2024,Income,740,Bkash,Groceries 
23-03-2024,Expense,324,Nagad,Shopping 
21-01-2023,Income,974,Cash,Groceries 
16-04-2024,Expense,207,Cash,Transfer 
23-01-2024,Expense,801,Credit Card,Transfer 
11-10-2023,Income,208,Nagad,Groceries 
12-12-2023,Income,455,Cash,Transfer 
27-04-2023,Income,974,Cash,Groceries 
10-04-2024,Income,581,Cash,Shopping 
11-03-2023,Expense,151,Nagad,Transfer 
06-01-2024,Income,495,Credit Card,Shopping 
04-09-2024,Income,972,Nagad,Groceries 
28-07-2024,Expense,913,Cash,Rent 
15-10-2023,Income,412,Bkash,Groceries 
15-04-2023,Income,992,Cash,Transfer 
15-11-2024,Expense,981,Cash,Groceries 
22-12-2024,Expense,622,Nagad,Rent 
15-01-2023,Expense,714,Nagad,Shopping 
13-08-2024,Expense,391,Credit Card,Transfer 
15-07-2024,Income,595,Nagad,Salary 
21-02-2024,Income,455,Nagad,Salary 
15-08-2023,Income,139,Bkash,Rent 
21-04-2023,Expense,990,Credit Card,Rent 
18-07-2024,Income,226,Credit Card,Groceries 
05-01-2023,Expense,998,Cash,Shopping 
16-12-2023,Income,179,Bkash,Groceries 
23-12-2023,Income,833,Bkash,Rent 
13-07-2024,Expense,364,Nagad,Transfer 
25-03-2023,Expense,476,Bkash,Rent 
08-07-2023,Income,594,Credit Card,Transfer 
28-02-2023,Income,623,Credit Card,Salary 
04-02-2023,Income,642,Cash,Rent 
04-10-2024,Income,388,Nagad,Rent 
23-12-2023,Expense,549,Cash,Rent 
07-11-2024,Expense,918,Nagad,Rent 
23-04-2024,Expense,916,Cash,Groceries 
01-11-2023,Income,231,Credit Card,Shopping 
02-01-2023,Income,722,Nagad,Salary 
15-05-2023,Income,265,Credit Card,Salary 
13-04-2024,Expense,319,Nagad,Groceries 
20-05-2023,Income,760,Bkash,Groceries 
19-11-2024,Income,653,Bkash,Rent 
26-01-2023,Income,639,Nagad,Groceries 
02-01-2024,Expense,543,Bkash,Salary 
09-11-2023,Expense,173,Credit Card,Salary 
17-02-2024,Expense,663,Credit Card,Transfer 
19-09-2024,Income,613,Cash,Groceries 
02-07-2024,Expense,369,Bkash,Rent 
08-09-2024,Income,823,Nagad,Groceries 
13-09-2023,Income,491,Cash,Rent 
11-06-2024,Expense,116,Cash,Rent 
02-11-2023,Income,939,Cash,Shopping 
13-03-2023,Income,720,Nagad,Groceries 
16-04-2024,Expense,523,Credit Card,Groceries 
11-10-2023,Expense,195,Nagad,Salary 
21-08-2024,Income,954,Cash,Transfer 
23-03-2023,Income,764,Cash,Rent 
14-03-2023,Expense,472,Nagad,Salary 
19-08-2023,Expense,133,Bkash,Shopping 
08-04-2024,Expense,137,Nagad,Salary 
23-10-2023,Income,174,Credit Card,Rent 
15-01-2023,Income,275,Cash,Rent 
27-08-2023,Expense,730,Cash,Rent 
08-04-2023,Expense,747,Bkash,Transfer 
04-10-2024,Income,136,Cash,Rent 
28-08-2024,Income,437,Cash,Groceries 
21-07-2023,Expense,994,Nagad,Transfer 
07-10-2024,Expense,790,Bkash,Rent 
17-03-2023,Income,630,Credit Card,Rent 
08-04-2024,Income,529,Cash,Shopping 
25-03-2023,Income,531,Cash,Salary 
17-02-2024,Income,795,Cash,Transfer 
15-07-2023,Income,705,Cash,Transfer 
05-04-2023,Expense,866,Credit Card,Shopping 
25-07-2024,Income,869,Cash,Transfer 
14-12-2024,Income,950,Bkash,Groceries 
23-10-2023,Income,637,Bkash,Transfer 
20-07-2024,Income,564,Nagad,Groceries 
26-06-2024,Income,362,Credit Card,Transfer 
03-07-2024,Income,856,Bkash,Transfer 
06-09-2023,Expense,884,Cash,Transfer 
25-01-2023,Income,744,Bkash,Groceries 
03-11-2023,Expense,977,Nagad,Rent 
26-01-2024,Expense,377,Cash,Transfer 
08-01-2024,Expense,743,Bkash,Rent 
26-04-2023,Expense,555,Bkash,Groceries 
10-09-2024,Income,445,Bkash,Shopping 
06-06-2024,Expense,643,Bkash,Transfer 
19-02-2024,Expense,743,Cash,Groceries 
17-01-2024,Income,387,Credit Card,Groceries 
25-11-2023,Expense,838,Cash,Salary 
19-05-2023,Income,453,Bkash,Groceries 
11-06-2023,Income,685,Bkash,Rent 
14-03-2024,Income,955,Credit Card,Groceries 
11-09-2024,Expense,888,Bkash,Shopping 
17-08-2023,Expense,851,Credit Card,Rent 
26-01-2024,Income,125,Bkash,Rent 
24-04-2023,Income,836,Credit Card,Transfer 
28-04-2023,Expense,467,Nagad,Rent 
05-12-2024,Income,634,Nagad,Transfer 
12-08-2023,Expense,255,Nagad,Salary 
17-03-2023,Income,742,Bkash,Salary 
20-05-2024,Income,504,Credit Card,Salary 
23-09-2024,Expense,932,Cash,Salary 
25-10-2024,Expense,334,Cash,Transfer 
07-06-2023,Income,873,Nagad,Shopping 
18-08-2023,Expense,965,Credit Card,Shopping 
07-04-2024,Expense,275,Nagad,Rent 
02-02-2024,Income,573,Cash,Rent 
05-04-2023,Expense,831,Credit Card,Groceries 
01-12-2024,Income,332,Nagad,Groceries 
04-11-2023,Expense,986,Cash,Salary 
20-02-2023,Expense,528,Nagad,Salary 
03-09-2024,Expense,269,Credit Card,Rent 
22-01-2024,Income,806,Cash,Rent 
08-10-2023,Income,949,Bkash,Salary 
26-07-2023,Income,556,Cash,Transfer 
23-11-2024,Income,736,Bkash,Salary 
07-10-2023,Expense,996,Cash,Transfer 
24-05-2024,Income,713,Nagad,Rent 
23-05-2023,Income,599,Nagad,Groceries 
24-09-2024,Expense,920,Credit Card,Transfer 
03-11-2024,Expense,721,Nagad,Salary 
04-04-2024,Income,196,Bkash,Groceries 
19-03-2024,Income,575,Cash,Rent 
20-09-2023,Income,704,Cash,Shopping 
25-05-2023,Expense,205,Bkash,Transfer 
24-04-2024,Expense,191,Nagad,Salary 
23-11-2024,Income,693,Credit Card,Rent 
08-03-2024,Income,876,Cash,Shopping 
03-10-2024,Income,993,Bkash,Transfer 
03-09-2024,Income,183,Cash,Transfer 
27-06-2024,Income,556,Cash,Salary 
05-07-2024,Income,821,Nagad,Transfer 
27-12-2024,Income,759,Nagad,Shopping 
24-06-2023,Income,436,Credit Card,Groceries 
22-05-2023,Income,677,Bkash,Groceries 
19-10-2023,Income,526,Bkash,Groceries 
18-07-2024,Income,367,Bkash,Transfer 
22-07-2023,Income,252,Cash,Transfer 
10-10-2023,Income,852,Bkash,Rent 
07-12-2023,Expense,309,Cash,Transfer 
23-09-2023,Income,613,Nagad,Salary 
21-09-2024,Income,612,Nagad,Shopping 
03-02-2024,Expense,484,Bkash,Salary 
25-02-2023,Expense,279,Cash,Groceries 
24-10-2023,Income,496,Credit Card,Shopping 
08-04-2024,Income,764,Cash,Rent 
11-11-2024,Expense,144,Credit Card,Groceries 
09-07-2024,Income,399,Credit Card,Salary 
16-01-2023,Income,795,Nagad,Rent 
07-04-2023,Expense,748,Credit Card,Salary 
03-04-2023,Expense,988,Cash,Groceries 
14-12-2023,Expense,814,Nagad,Groceries 
27-04-2023,Income,971,Credit Card,Groceries 
25-09-2023,Expense,944,Nagad,Groceries 
21-01-2024,Expense,696,Cash,Groceries 
28-07-2023,Expense,367,Nagad,Shopping 
04-06-2023,Income,364,Bkash,Shopping 
03-05-2024,Income,416,Credit Card,Groceries 
11-11-2024,Expense,278,Nagad,Shopping 
03-09-2024,Expense,961,Bkash,Salary 
06-05-2024,Expense,289,Cash,Rent 
11-09-2024,Expense,639,Nagad,Salary 
19-03-2023,Income,573,Bkash,Salary 
28-04-2024,Expense,657,Cash,Transfer 
11-04-2024,Expense,693,Bkash,Groceries 
07-10-2023,Expense,916,Bkash,Shopping 
28-04-2023,Expense,905,Credit Card,Rent 
16-07-2024,Income,135,Bkash,Transfer 
12-02-2023,Expense,848,Bkash,Salary 
18-05-2023,Income,524,Bkash,Rent 
08-04-2023,Expense,448,Cash,Rent 
28-04-2024,Expense,484,Cash,Shopping 
24-10-2024,Income,988,Bkash,Shopping 
19-06-2024,Expense,555,Nagad,Rent 
20-03-2024,Income,215,Nagad,Shopping 
16-07-2024,Expense,441,Bkash,Rent 
24-06-2023,Income,519,Credit Card,Transfer 
17-06-2024,Expense,441,Nagad,Groceries 
28-01-2023,Income,326,Bkash,Rent 
25-09-2024,Income,502,Credit Card,Rent 
08-08-2024,Income,503,Bkash,Shopping 
01-06-2023,Expense,565,Bkash,Groceries 
14-07-2024,Expense,157,Cash,Shopping 
25-04-2024,Income,360,Nagad,Salary 
10-06-2024,Income,261,Bkash,Shopping 
27-03-2023,Expense,858,Cash,Transfer 
23-05-2023,Income,114,Bkash,Salary 
07-11-2024,Income,255,Credit Card,Rent 
27-05-2023,Income,484,Cash,Shopping 
05-12-2024,Expense,579,Cash,Groceries 
28-05-2024,Expense,487,Cash,Rent 
05-02-2024,Income,466,Credit Card,Transfer 
24-01-2024,Income,739,Bkash,Groceries 
14-09-2023,Income,815,Credit Card,Shopping 
07-07-2023,Expense,887,Nagad,Transfer 
07-10-2023,Expense,813,Credit Card,Transfer 
28-10-2024,Expense,124,Bkash,Salary 
24-10-2024,Income,313,Nagad,Transfer 
21-02-2023,Income,818,Cash,Salary 
